Game_ID,Game_Name,Genre,Platform,Release_Year,Global_Sales,User_Rating,Active_Players
G0046,Warrior Shadow,Sports,Xbox,2000,28.28,9.2,15.5
G0047,Empire Rise,Shooter,PC,2021,15.8,5.1,47.7
G0048,Arena Arena,Sports,Xbox,2002,48.67,9.9,52.1
G0049,Arena Legend,Strategy,Mobile,2002,3.85,4.7,36.8
G0050,Arena Quest,Racing,PlayStation,2019,34.11,2.4,0.7
G0051,Warrior Warrior,Sports,PlayStation,2010,33.99,6.4,30.0
G0052,Quest Arena,Shooter,PlayStation,2006,25.82,9.2,96.1
G0053,Battle Arena,Shooter,PlayStation,2021,33.19,6.6,22.3
G0054,Legend Empire,Shooter,Xbox,2009,10.93,6.7,72.4
G0055,Shadow Arena,Adventure,Xbox,2001,21.43,5.9,66.3
G0056,Galaxy Rise,Racing,PlayStation,2015,19.79,7.6,40.5
G0057,Quest Galaxy,Strategy,Xbox,2013,28.11,8.5,95.0
G0058,Legend Battle,Shooter,Mobile,2013,46.49,1.5,35.4
G0059,Legend Fury,Action,Switch,2014,42.94,8.9,11.8
G0060,Fury Warrior,Strategy,Mobile,2010,26.57,9.2,54.8
G0061,Fury Legend,RPG,PlayStation,2017,34.1,9.6,27.5
G0062,Rise Warrior,Adventure,Mobile,2018,15.52,7.8,24.7
G0063,Legend Shadow,Action,Xbox,2021,3.62,9.8,82.1
G0064,Shadow Battle,Strategy,Xbox,2022,14.21,5.8,42.4
G0065,Arena Warrior,Sports,PC,2013,46.82,6.0,68.9
G0066,Warrior Shadow,Sports,Mobile,2003,43.11,3.7,78.0
G0067,Galaxy Legend,Strategy,PlayStation,2018,11.57,9.3,40.6
G0068,Galaxy Legend,Adventure,Xbox,2010,38.31,7.0,45.5
G0069,Quest Shadow,Sports,Switch,2015,6.8,1.6,17.0
G0070,Galaxy Galaxy,Racing,PC,2024,27.99,6.2,65.5
G0071,Fury Shadow,Shooter,Xbox,2020,36.13,7.4,35.9
G0072,Galaxy Empire,Racing,PC,2007,29.21,1.6,79.1
G0073,Arena Fury,Racing,Switch,2024,12.96,4.6,41.8
G0074,Battle Quest,RPG,PC,2019,29.73,8.5,8.6
G0075,Shadow Arena,Sports,Switch,2018,23.93,7.8,23.0
G0076,Arena Warrior,Adventure,Mobile,2018,21.66,5.9,66.2
G0077,Legend Warrior,Racing,PlayStation,2002,6.73,8.8,46.9
G0078,Legend Arena,Adventure,PlayStation,2017,40.56,9.3,49.7
G0079,Shadow Warrior,Racing,PlayStation,2005,49.45,6.9,81.8
G0080,Shadow Empire,Racing,Mobile,2007,14.16,7.0,29.2
G0081,Galaxy Warrior,Racing,PC,2005,36.14,1.9,42.9
G0082,Fury Quest,Action,Switch,2021,31.33,9.5,32.6
G0083,Legend Battle,Shooter,PC,2023,27.69,4.3,34.5
G0084,Fury Warrior,Action,PlayStation,2018,6.81,5.4,40.0
G0085,Empire Quest,Action,Xbox,2000,42.59,5.5,84.0
G0086,Rise Empire,Racing,PlayStation,2013,4.89,4.1,91.7
G0087,Fury Battle,Racing,Mobile,2011,48.4,2.0,15.5
G0088,Warrior Empire,Sports,Mobile,2009,8.84,4.5,7.8
G0089,Warrior Galaxy,Strategy,Switch,2019,17.07,4.5,88.8
G0090,Empire Quest,Strategy,PC,2007,0.52,9.0,23.4
G0091,Rise Fury,Racing,Xbox,2005,48.67,4.9,67.0
G0092,Legend Battle,Strategy,Xbox,2007,41.93,7.0,44.3
G0093,Warrior Rise,Strategy,Mobile,2005,35.11,9.3,92.4
G0094,Legend Galaxy,Action,Xbox,2016,19.77,6.6,17.7
G0095,Galaxy Warrior,Action,PlayStation,2000,0.81,5.5,22.5
G0096,Shadow Legend,RPG,Switch,2016,23.4,1.5,36.4
G0097,Warrior Fury,RPG,Switch,2003,35.5,3.8,29.3
G0098,Warrior Galaxy,Adventure,Mobile,2014,1.68,7.4,35.3
G0099,Battle Battle,Strategy,PlayStation,2006,22.47,8.8,6.2
G0100,Warrior Galaxy,Racing,PC,2023,8.64,1.6,61.7
G0101,Rise Shadow,Action,Mobile,2007,41.12,4.5,90.6
G0102,Fury Quest,Action,Xbox,2019,12.7,6.4,73.7
G0103,Warrior Shadow,RPG,Xbox,2018,43.71,2.1,79.1
G0104,Warrior Quest,RPG,Switch,2018,43.95,2.8,74.8
G0105,Quest Arena,Racing,Mobile,2020,38.95,9.6,67.9
G0106,Fury Warrior,Strategy,Mobile,2014,15.06,6.5,57.3
G0107,Empire Legend,Strategy,PlayStation,2010,49.24,3.6,21.6
G0108,Shadow Arena,RPG,Switch,2022,11.31,7.2,7.7
G0109,Quest Empire,Strategy,Switch,2024,31.43,9.2,95.2
G0110,Galaxy Arena,Strategy,Mobile,2003,47.75,5.5,88.9
G0111,Battle Shadow,Racing,Switch,2007,2.95,6.2,54.7
G0112,Rise Warrior,Shooter,Mobile,2005,1.64,7.6,65.0
G0113,Legend Battle,Adventure,Switch,2003,23.54,7.0,66.5
G0114,Warrior Empire,Shooter,PlayStation,2019,30.98,8.0,23.5
G0115,Quest Battle,Adventure,PC,2018,17.62,7.5,63.2
G0116,Arena Battle,Racing,Mobile,2010,8.96,4.2,67.8
G0117,Warrior Quest,Racing,Xbox,2010,41.24,4.5,80.4
G0118,Fury Empire,Shooter,Mobile,2002,36.75,9.4,33.1
G0119,Empire Fury,Sports,PC,2002,39.74,9.2,18.8
G0120,Galaxy Battle,RPG,Xbox,2006,34.86,6.1,65.7
G0121,Arena Shadow,RPG,PlayStation,2013,48.46,3.2,43.2
G0122,Quest Shadow,Racing,PlayStation,2003,26.85,3.5,95.0
G0123,Shadow Arena,Adventure,PlayStation,2018,4.91,6.7,86.0
G0124,Fury Arena,Sports,Switch,2019,27.51,2.6,57.8
G0125,Shadow Fury,Adventure,Mobile,2024,4.06,7.5,22.9
G0126,Warrior Battle,Racing,PC,2011,36.01,1.7,63.3
G0127,Warrior Quest,Adventure,PlayStation,2008,47.53,8.0,54.8
G0128,Quest Quest,Strategy,Mobile,2003,3.98,9.2,19.1
G0129,Galaxy Shadow,Shooter,Xbox,2016,22.62,5.0,45.2
G0130,Shadow Quest,Shooter,PC,2004,17.53,6.8,53.6
G0131,Empire Arena,Strategy,Switch,2016,12.43,5.0,94.2
G0132,Legend Rise,Strategy,Mobile,2009,32.58,6.2,13.0
G0133,Warrior Fury,Racing,Switch,2017,13.36,7.0,72.0
G0134,Battle Arena,Action,Switch,2024,43.02,1.7,26.0
G0135,Arena Galaxy,Sports,Xbox,2018,30.22,5.1,18.3
G0136,Warrior Galaxy,Sports,PlayStation,2004,23.8,2.1,64.7
G0137,Rise Shadow,Adventure,Xbox,2004,23.46,3.9,4.8
G0138,Warrior Battle,Sports,Xbox,2015,32.36,8.4,5.8
G0139,Legend Quest,Adventure,Xbox,2001,36.59,3.7,12.8
G0140,Galaxy Rise,Sports,Xbox,2003,35.8,5.6,58.5
G0141,Shadow Legend,Sports,Xbox,2016,38.55,4.0,68.8
G0142,Warrior Warrior,RPG,PlayStation,2003,35.75,2.6,52.3
G0143,Shadow Galaxy,Shooter,Mobile,2007,9.35,2.7,15.3
G0144,Quest Quest,Sports,PlayStation,2005,17.74,8.1,24.5
G0145,Empire Quest,RPG,Xbox,2010,41.05,6.9,60.1
G0146,Galaxy Legend,Racing,PlayStation,2004,2.96,1.6,70.4
G0147,Legend Shadow,Shooter,PlayStation,2024,47.06,8.1,2.5
G0148,Warrior Battle,Racing,PC,2001,42.17,4.5,31.3
G0149,Quest Rise,Shooter,PlayStation,2010,6.85,6.7,13.2
G0150,Warrior Empire,RPG,Switch,2000,39.12,4.1,99.9
G0151,Arena Battle,Adventure,Switch,2006,24.47,4.9,72.2
G0152,Legend Quest,Strategy,PlayStation,2001,2.91,2.7,36.0
G0153,Fury Galaxy,RPG,Switch,2024,29.66,1.4,58.2
G0154,Shadow Arena,Racing,Xbox,2003,10.87,9.6,40.2
G0155,Warrior Empire,Strategy,Mobile,2003,17.21,7.6,71.2
G0156,Arena Battle,RPG,PlayStation,2020,9.79,2.9,2.2
G0157,Arena Arena,Action,Xbox,2004,9.7,8.2,15.4
G0158,Battle Quest,RPG,PC,2013,13.82,7.8,90.3
G0159,Galaxy Galaxy,Strategy,Switch,2006,2.25,1.2,33.2
G0160,Warrior Battle,Shooter,PlayStation,2014,24.91,7.2,7.5
G0161,Battle Quest,Sports,PlayStation,2008,4.24,5.1,86.5
G0162,Quest Rise,Adventure,Mobile,2012,44.34,6.6,15.7
G0163,Shadow Galaxy,Strategy,Xbox,2020,26.21,3.5,40.2
G0164,Galaxy Galaxy,Adventure,Xbox,2021,8.57,7.2,68.0
G0165,Rise Arena,Adventure,PC,2021,34.05,9.8,15.9
G0166,Warrior Arena,Strategy,PC,2023,6.77,4.9,61.2
G0167,Galaxy Fury,Sports,Xbox,2001,49.09,2.3,14.4
G0168,Galaxy Battle,RPG,PC,2012,13.21,6.6,43.7
G0169,Battle Galaxy,Adventure,PC,2001,22.86,8.2,46.9
G0170,Warrior Battle,Action,Switch,2006,21.29,6.4,83.9
G0171,Fury Battle,Racing,Mobile,2019,18.1,7.8,36.9
G0172,Rise Arena,Action,PC,2019,48.98,2.7,84.3
G0173,Battle Legend,Strategy,PlayStation,2021,15.54,8.0,53.3
G0174,Legend Shadow,Action,Switch,2003,11.05,2.7,29.6
G0175,Warrior Rise,Action,PlayStation,2002,30.58,2.0,56.1
G0176,Legend Rise,RPG,PC,2006,17.62,5.9,27.1
G0177,Rise Arena,Racing,PC,2013,10.07,6.4,1.3
G0178,Battle Empire,Strategy,Xbox,2015,21.79,9.7,76.8
G0179,Warrior Empire,Action,PC,2004,30.21,1.9,13.2
G0180,Shadow Shadow,Racing,Mobile,2012,13.99,3.2,6.6
G0181,Battle Fury,Racing,Xbox,2006,26.9,8.8,6.4
G0182,Empire Warrior,RPG,PlayStation,2008,46.39,7.4,35.5
G0183,Rise Shadow,Sports,PC,2010,24.76,9.7,21.6
G0184,Arena Fury,Adventure,Switch,2019,20.89,6.5,50.9
G0185,Quest Quest,Sports,PC,2009,25.88,4.3,74.4
G0186,Rise Battle,Action,Mobile,2005,45.39,3.5,38.3
G0187,Rise Galaxy,Racing,Mobile,2009,20.28,6.2,16.8
G0188,Fury Arena,Sports,Xbox,2009,35.98,4.7,68.3
G0189,Legend Battle,Strategy,PlayStation,2021,25.3,2.0,95.5
G0190,Empire Warrior,Adventure,Xbox,2023,5.43,6.9,24.9
G0191,Rise Warrior,RPG,Xbox,2019,33.77,3.9,66.3
G0192,Quest Warrior,Strategy,Switch,2010,49.29,5.4,28.0
G0193,Empire Rise,Shooter,Mobile,2017,1.79,9.6,5.6
G0194,Galaxy Quest,Adventure,Xbox,2003,28.19,5.9,91.1
G0195,Shadow Warrior,Action,PC,2018,23.95,3.6,9.6
G0196,Arena Shadow,Strategy,Xbox,2014,24.85,3.6,99.3
G0197,Battle Arena,RPG,Mobile,2006,39.96,6.7,14.5
G0198,Legend Warrior,Shooter,Switch,2010,40.86,1.0,55.3
G0199,Warrior Shadow,Racing,Mobile,2022,29.58,7.1,58.4
G0200,Rise Warrior,Strategy,Switch,2022,9.0,6.6,92.5
G0201,Shadow Battle,Action,PlayStation,2018,8.32,8.2,14.6
G0202,Warrior Fury,Strategy,PC,2018,10.81,2.0,15.3
G0203,Quest Fury,Racing,PC,2023,46.21,7.4,72.5
G0204,Warrior Battle,RPG,Switch,2004,17.96,5.3,58.0
G0205,Fury Shadow,RPG,Switch,2002,38.15,8.4,52.9
G0206,Empire Quest,Sports,PC,2023,44.38,7.0,5.6
G0207,Warrior Legend,Adventure,Switch,2001,43.59,7.1,62.9
G0208,Warrior Quest,Action,Switch,2010,24.98,8.0,15.2
G0209,Warrior Empire,RPG,Xbox,2001,35.9,1.8,18.6
G0210,Rise Empire,Strategy,Mobile,2020,3.81,3.3,85.6
G0211,Legend Rise,Strategy,Switch,2007,34.8,7.5,3.0
G0212,Arena Rise,Strategy,Mobile,2017,39.98,3.1,91.4
G0213,Arena Fury,Action,PC,2016,10.45,9.3,65.8
G0214,Empire Rise,RPG,Xbox,2008,17.81,1.8,79.2
G0215,Quest Galaxy,RPG,Switch,2006,38.21,7.6,45.2
G0216,Rise Battle,Shooter,PlayStation,2010,21.18,7.9,32.2
G0217,Legend Warrior,Action,Switch,2004,24.72,2.2,87.3
G0218,Battle Warrior,Sports,Mobile,2002,23.37,8.6,95.5
G0219,Fury Battle,Adventure,Switch,2023,24.25,1.6,73.6
G0220,Fury Rise,Action,Switch,2010,2.04,2.5,79.3
G0221,Galaxy Quest,Racing,PC,2018,28.54,6.8,93.1
G0222,Fury Warrior,Sports,Xbox,2000,48.14,2.2,6.2
G0223,Battle Quest,Adventure,Switch,2010,23.02,7.4,84.2
G0224,Legend Battle,Adventure,Switch,2010,26.02,8.3,70.5
G0225,Battle Empire,RPG,PlayStation,2000,42.7,6.0,61.5
G0226,Warrior Fury,Action,Mobile,2011,43.02,1.9,73.0
G0227,Arena Galaxy,Racing,PlayStation,2022,39.9,9.4,63.0
G0228,Battle Fury,RPG,Switch,2024,13.66,2.2,91.4
G0229,Battle Warrior,Shooter,Mobile,2013,11.08,8.8,66.2
G0230,Fury Battle,Strategy,PlayStation,2024,29.16,4.1,31.4
G0231,Legend Galaxy,Racing,Switch,2016,4.8,8.9,53.1
G0232,Rise Rise,RPG,PlayStation,2019,14.26,4.9,85.0
G0233,Quest Rise,Action,Xbox,2014,25.34,8.7,50.6
G0234,Rise Quest,Adventure,Switch,2020,25.51,3.6,24.6
G0235,Warrior Rise,Action,PC,2018,9.72,3.2,48.8
G0236,Arena Quest,Action,PC,2014,39.44,8.3,23.1
G0237,Arena Fury,Strategy,PlayStation,2020,6.33,7.5,20.3
G0238,Warrior Warrior,Shooter,Switch,2010,24.33,7.8,41.7
G0239,Legend Quest,Action,Switch,2012,20.78,8.7,41.6
G0240,Rise Arena,Adventure,PC,2001,27.72,4.0,36.9
G0241,Fury Legend,Adventure,Switch,2003,18.38,7.9,57.2
G0242,Quest Quest,RPG,Mobile,2012,25.66,5.4,65.7
G0243,Fury Quest,Racing,Switch,2014,12.5,5.4,4.2
G0244,Galaxy Shadow,Action,PC,2011,15.18,8.6,10.5
G0245,Rise Legend,RPG,Switch,2016,41.23,2.1,34.1
G0246,Fury Shadow,Sports,Switch,2006,18.72,4.7,88.3
G0247,Quest Legend,Shooter,Switch,2012,39.16,3.1,77.8
G0248,Fury Quest,Action,Xbox,2003,39.56,9.5,65.3
G0249,Quest Warrior,Shooter,Mobile,2004,47.21,5.9,80.8
G0250,Empire Rise,Action,PlayStation,2006,49.12,6.1,97.8
G0251,Quest Galaxy,Strategy,Switch,2002,32.64,1.7,97.4
G0252,Rise Fury,Strategy,Switch,2000,42.49,5.0,33.6
G0253,Warrior Fury,Strategy,PlayStation,2006,2.22,3.2,49.4
G0254,Empire Warrior,Sports,Switch,2024,28.6,4.1,72.5
G0255,Fury Warrior,Adventure,Mobile,2006,10.58,4.4,32.1
G0256,Arena Galaxy,Strategy,PlayStation,2003,25.74,6.9,70.1
G0257,Arena Battle,Sports,Xbox,2009,20.84,2.1,70.7
G0258,Fury Empire,Action,PlayStation,2018,16.99,5.1,29.9
G0259,Warrior Empire,Action,Mobile,2006,16.61,7.4,43.4
G0260,Legend Quest,Adventure,PC,2000,41.27,1.4,23.0
G0261,Battle Galaxy,Action,Xbox,2015,19.25,6.8,88.6
G0262,Legend Fury,Adventure,Mobile,2019,4.12,9.1,99.2
G0263,Arena Arena,Adventure,Xbox,2020,39.36,9.8,40.2
G0264,Arena Fury,RPG,PC,2024,21.86,7.4,60.6
G0265,Arena Fury,RPG,Switch,2017,9.05,9.3,30.4
G0266,Rise Legend,Strategy,Mobile,2016,7.06,2.4,78.3
G0267,Fury Battle,Sports,Switch,2004,4.54,4.8,30.1
G0268,Rise Legend,Action,Mobile,2000,10.69,1.4,84.9
G0269,Fury Galaxy,Shooter,PC,2018,25.59,4.7,77.2
G0270,Fury Galaxy,Adventure,Mobile,2000,10.06,1.9,53.7
G0271,Battle Warrior,Strategy,Xbox,2018,23.57,3.5,95.8
G0272,Rise Rise,Adventure,Mobile,2010,40.36,5.1,8.8
G0273,Warrior Fury,Adventure,Mobile,2018,25.41,3.8,95.3
G0274,Warrior Shadow,Sports,Mobile,2015,19.39,6.3,59.5
G0275,Warrior Quest,Racing,Mobile,2024,29.39,4.7,82.0
G0276,Rise Galaxy,Sports,Switch,2020,25.25,1.1,29.7
G0277,Shadow Rise,Action,Xbox,2023,15.35,7.7,26.2
G0278,Empire Empire,RPG,PlayStation,2017,44.26,8.7,43.6
G0279,Rise Shadow,Adventure,Xbox,2016,38.47,6.8,27.7
G0280,Warrior Rise,Action,PC,2007,20.23,3.0,64.5
G0281,Galaxy Battle,Sports,Mobile,2023,27.42,2.4,96.4
G0282,Legend Galaxy,Action,PC,2003,21.85,6.0,57.9
G0283,Battle Battle,RPG,Xbox,2004,8.23,5.9,73.5
G0284,Galaxy Empire,Action,Mobile,2008,6.3,8.1,28.9
G0285,Rise Galaxy,Shooter,Switch,2024,10.02,5.0,41.0
G0286,Rise Battle,Sports,Mobile,2021,0.78,9.5,51.1
G0287,Rise Rise,Action,PlayStation,2022,1.14,7.3,89.6
G0288,Warrior Galaxy,RPG,PC,2007,40.15,8.7,45.6
G0289,Warrior Empire,Shooter,Mobile,2019,26.84,6.8,89.0
G0290,Galaxy Empire,Adventure,Switch,2019,32.26,3.2,28.5
G0291,Galaxy Quest,Racing,Xbox,2024,41.39,4.1,21.3
G0292,Warrior Empire,Shooter,Mobile,2001,6.11,5.9,46.5
G0293,Shadow Warrior,Strategy,Mobile,2018,9.21,6.0,53.2
G0294,Rise Arena,Strategy,PC,2003,37.93,8.4,2.4
G0295,Legend Legend,Strategy,PC,2007,10.21,4.2,41.7
G0296,Legend Arena,Adventure,PC,2008,14.71,9.4,16.4
G0297,Rise Empire,Sports,PC,2004,47.47,8.8,46.7
G0298,Legend Galaxy,Sports,Mobile,2007,0.26,2.6,92.6
G0299,Warrior Quest,Sports,Xbox,2009,39.11,2.1,43.7
G0300,Galaxy Warrior,Racing,Switch,2017,8.87,2.1,89.8
G0301,Rise Arena,Racing,Switch,2020,20.59,9.9,5.4
G0302,Quest Warrior,Racing,Mobile,2019,42.12,6.1,34.0
G0303,Galaxy Warrior,RPG,Xbox,2006,11.16,5.7,23.1
G0304,Empire Shadow,Shooter,PC,2002,18.61,9.4,56.2
G0305,Legend Fury,Racing,PC,2014,16.7,4.3,99.6
G0306,Warrior Shadow,Racing,PC,2024,44.85,9.0,74.2
G0307,Shadow Shadow,Shooter,Xbox,2020,25.96,8.6,17.3
G0308,Fury Battle,Strategy,PlayStation,2003,35.4,1.3,84.5
G0309,Arena Legend,Sports,Mobile,2016,24.89,1.9,54.4
G0310,Empire Rise,RPG,Switch,2017,0.57,3.1,7.7
G0311,Battle Arena,RPG,Xbox,2011,27.53,3.0,14.5
G0312,Arena Rise,RPG,Switch,2014,37.09,7.4,8.9
G0313,Galaxy Arena,Racing,PlayStation,2008,7.88,7.5,4.6
G0314,Fury Quest,Adventure,PC,2016,25.97,7.8,52.0
G0315,Empire Warrior,Shooter,PlayStation,2017,49.84,4.6,25.8
G0316,Galaxy Shadow,Adventure,PC,2001,48.27,6.0,15.2
G0317,Arena Warrior,Adventure,Switch,2008,11.27,2.2,4.5
G0318,Warrior Arena,RPG,Switch,2008,45.66,7.2,92.5
G0319,Battle Quest,Action,PlayStation,2014,32.58,7.6,89.3
G0320,Rise Galaxy,Sports,PlayStation,2018,19.54,9.5,49.5
G0321,Battle Empire,Shooter,Mobile,2014,7.89,6.9,38.3
G0322,Battle Warrior,Adventure,PlayStation,2023,16.6,9.9,81.2
G0323,Empire Quest,Strategy,Mobile,2015,37.3,9.5,66.4
G0324,Shadow Empire,Sports,PC,2007,32.1,5.4,68.6
G0325,Galaxy Legend,Adventure,Switch,2013,36.6,9.2,92.4
G0326,Arena Empire,Racing,Xbox,2017,8.39,4.8,80.7
G0327,Battle Legend,Strategy,Xbox,2002,29.28,7.1,40.4
G0328,Fury Warrior,Sports,Switch,2024,21.39,3.5,85.3
G0329,Quest Empire,Sports,Mobile,2006,34.72,7.4,56.2
G0330,Shadow Empire,Strategy,PC,2012,12.28,4.3,10.5
G0331,Battle Empire,Adventure,PC,2005,13.0,6.5,92.0
G0332,Shadow Shadow,Action,Switch,2004,43.46,8.5,57.0
G0333,Quest Fury,Strategy,Xbox,2023,27.75,1.8,28.3
G0334,Galaxy Quest,Racing,Mobile,2006,16.64,4.1,81.6
G0335,Galaxy Battle,Sports,PC,2002,10.54,3.7,93.8
G0336,Galaxy Fury,RPG,PC,2004,43.15,5.8,47.8
G0337,Galaxy Quest,Racing,Switch,2016,8.47,8.4,69.5
G0338,Warrior Warrior,Action,PC,2023,18.25,3.8,41.2
G0339,Empire Legend,Sports,PlayStation,2009,31.31,7.2,56.0
G0340,Fury Battle,Shooter,Switch,2010,13.66,3.3,18.9
G0341,Warrior Arena,Shooter,PC,2014,48.59,9.0,76.1
G0342,Legend Arena,Shooter,Xbox,2013,26.89,4.5,65.2
G0343,Fury Galaxy,Shooter,Switch,2006,16.56,7.2,92.4
G0344,Warrior Arena,RPG,Mobile,2010,34.11,6.3,78.1
G0345,Galaxy Rise,Shooter,Switch,2022,11.26,7.9,34.0
G0346,Legend Rise,Shooter,Switch,2012,14.58,9.8,98.2
G0347,Warrior Empire,Adventure,PC,2014,40.86,5.5,58.6
G0348,Shadow Galaxy,RPG,Switch,2006,37.4,2.1,51.6
G0349,Battle Shadow,Adventure,PC,2020,9.96,2.9,11.4
G0350,Warrior Legend,Adventure,Xbox,2002,45.36,3.6,58.3
G0351,Arena Legend,Racing,PlayStation,2001,37.68,8.3,33.1
G0352,Rise Quest,RPG,Xbox,2021,36.48,9.4,86.7
G0353,Shadow Rise,Strategy,Xbox,2007,20.17,2.1,39.7
G0354,Battle Arena,Racing,Xbox,2008,39.01,8.0,30.9
G0355,Warrior Shadow,Action,Switch,2020,35.55,8.8,92.4
G0356,Fury Galaxy,Adventure,PC,2009,47.85,4.2,25.0
G0357,Shadow Empire,Shooter,Mobile,2009,14.52,7.5,34.0
G0358,Rise Battle,Racing,Switch,2007,37.11,4.8,17.7
G0359,Rise Rise,RPG,Switch,2021,1.97,1.8,38.4
G0360,Fury Empire,Sports,Mobile,2013,12.85,8.8,7.0
G0361,Rise Quest,Adventure,Mobile,2013,9.31,5.5,62.7
G0362,Empire Galaxy,Racing,Xbox,2020,25.11,9.9,28.1
G0363,Warrior Empire,Racing,PC,2021,18.19,8.3,39.6
G0364,Galaxy Legend,Racing,PC,2008,24.42,6.2,90.7
G0365,Battle Quest,Strategy,PlayStation,2011,16.48,4.0,62.1
G0366,Legend Empire,Racing,Switch,2016,4.24,6.6,27.5
G0367,Fury Quest,Racing,PC,2019,40.7,7.7,14.7
G0368,Arena Galaxy,RPG,PC,2015,36.6,6.9,87.5
G0369,Battle Warrior,Sports,Mobile,2002,23.6,2.8,26.1
G0370,Quest Empire,Strategy,Mobile,2017,26.43,5.8,67.8
G0371,Quest Empire,Racing,PlayStation,2008,36.35,9.3,89.9
G0372,Fury Shadow,Action,Mobile,2021,13.84,7.9,33.0
G0373,Battle Quest,Shooter,PlayStation,2000,4.72,3.5,30.5
G0374,Warrior Fury,Sports,PC,2004,30.22,8.1,60.6
G0375,Arena Galaxy,RPG,PC,2005,39.78,8.7,59.9
G0376,Quest Shadow,Racing,PC,2024,38.74,5.9,65.3
G0377,Shadow Legend,Shooter,Switch,2006,42.78,2.5,57.4
G0378,Warrior Shadow,Strategy,PlayStation,2021,38.57,3.9,33.8
G0379,Shadow Shadow,Action,PlayStation,2018,10.26,1.8,7.9
G0380,Shadow Rise,Action,PC,2024,32.4,7.9,8.3
G0381,Legend Legend,Racing,Mobile,2012,10.09,7.3,85.8
G0382,Galaxy Rise,Racing,Xbox,2016,48.72,2.3,98.6
G0383,Galaxy Battle,RPG,PlayStation,2000,36.99,7.8,82.7
G0384,Arena Battle,Shooter,PlayStation,2015,42.27,4.2,53.0
G0385,Empire Empire,Strategy,Xbox,2001,47.29,7.2,62.2
G0386,Quest Arena,Strategy,Xbox,2001,45.66,2.9,75.3
G0387,Warrior Empire,Sports,Mobile,2012,9.79,8.4,5.9
G0388,Arena Legend,Sports,Switch,2001,46.55,4.2,7.2
G0389,Quest Arena,Strategy,Mobile,2007,41.11,5.8,46.9
